id_stop_departure,id_stop_arrival,price,departure_datetime,arrival_datetime
10,1337,720,23:00:00,7:10:00
10,1337,756,22:45:00,6:45:00
10,3316,1300,17:30:00,7:50:00
10,65,1365,17:30:00,14:00:00
10,3921,1365,17:30:00,13:00:00
10,3916,1365,17:30:00,10:50:00
10,3908,1365,17:30:00,8:15:00
10,3912,1365,17:30:00,9:30:00
10,2768,1365,17:30:00,12:20:00
10,65,1300,17:30:00,14:00:00
10,3919,1365,17:30:00,12:00:00
14,15,575,2:15:00,9:20:00
14,49,610,2:30:00,8:25:00
14,49,734,2:30:00,8:25:00
14,56,734,2:30:00,9:25:00
14,19,420,4:20:00,9:16:00
14,19,420,3:30:00,7:40:00
15,1063,1203,19:25:00,8:40:00
15,308,1203,19:15:00,9:25:00
15,14,575,19:15:00,2:20:00
15,58,1203,19:25:00,8:30:00
15,17,181,9:20:00,11:25:00
15,17,181,9:50:00,11:55:00
15,2888,1203,19:15:00,9:10:00
15,49,1203,19:25:00,8:25:00
15,3642,1447,19:25:00,9:15:00
15,4763,1447,19:25:00,8:00:00
15,38,1447,19:15:00,9:15:00
15,1447,1447,19:25:00,8:20:00
15,115,1447,19:15:00,10:00:00
15,107,1447,19:25:00,7:45:00
15,40,1447,19:15:00,8:45:00
15,10,1280,19:30:00,9:20:00
15,107,1280,19:30:00,7:25:00
15,10,1445,19:30:00,9:20:00
15,106,596,18:30:00,2:30:00
15,350,817,18:30:00,5:00:00
15,350,825,18:30:00,5:00:00
15,1471,1281,18:30:00,10:00:00
15,106,601,18:30:00,2:30:00
15,106,596,18:30:00,2:30:00
15,350,825,18:30:00,5:00:00
15,1471,1281,18:30:00,10:00:00
15,17,224,4:50:00,7:00:00
15,106,601,18:30:00,2:30:00
16,1447,1288,18:10:00,8:20:00
16,17,98,10:25:00,11:25:00
16,652,1549,18:00:00,7:45:00
16,1063,1549,18:10:00,8:40:00
16,350,900,17:30:00,5:00:00
16,369,935,17:30:00,6:00:00
16,17,109,6:00:00,7:00:00
17,16,98,17:00:00,18:10:00
17,49,1386,17:00:00,8:25:00
17,652,1666,16:50:00,7:45:00
17,15,218,17:00:00,19:25:00
17,4763,1666,17:00:00,8:00:00
17,49,1666,17:00:00,8:25:00
17,10,1182,17:15:00,7:55:00
17,409,994,2:10:00,13:15:00
17,315,1208,2:10:00,16:05:00
17,315,1411,2:10:00,16:05:00
17,416,270,2:10:00,5:25:00
17,323,470,3:05:00,8:05:00
17,408,456,3:05:00,7:45:00
17,409,1165,2:10:00,13:15:00
17,416,319,2:10:00,5:25:00
17,1211,460,2:10:00,7:50:00
17,1211,534,2:10:00,7:50:00
17,350,1015,16:30:00,5:00:00
17,106,792,16:30:00,2:30:00
17,106,811,16:30:00,2:30:00
17,350,1035,16:30:00,5:00:00
17,921,826,16:30:00,2:50:00
17,1058,899,16:30:00,3:30:00
17,369,1066,16:30:00,6:00:00
17,15,224,16:30:00,18:30:00
17,633,270,16:30:00,19:45:00
17,1471,1490,16:30:00,10:00:00
17,369,1050,16:30:00,6:00:00
17,350,1015,16:30:00,5:00:00
17,106,792,16:30:00,2:30:00
17,350,1035,16:30:00,5:00:00
17,106,811,16:30:00,2:30:00
17,1058,899,16:30:00,3:30:00
17,369,1066,16:30:00,6:00:00
17,633,270,16:30:00,19:45:00
